,0,1,2,3,4
0,0.0,0.0,0.0,4437.0,0.0
0,0.0,0.0,0.0,5719.0,0.0
0,0.0,0.0,0.0,484.0,0.0
0,0.0,0.0,0.0,764.0,0.0
0,0.0,0.0,0.0,2041.0,0.0
0,0.0,0.0,0.0,4028.0,0.0
0,0.0,0.0,0.0,4195.0,0.0
0,1296.5,2.0,2.0,1865.0,1.0
0,86.0,1.0,1.0,1865.0,1.0
0,0.0,0.0,0.0,2507.0,0.0
0,0.0,0.0,0.0,86.0,0.0
0,0.0,0.0,0.0,86.0,0.0
0,0.0,0.0,0.0,16683.0,0.0
0,0.0,0.0,0.0,4195.0,0.0
0,0.0,0.0,0.0,4195.0,0.0
0,0.0,0.0,1.0,264.0,0.0
0,0.0,0.0,0.0,423.0,0.0
0,1719.0,1.0,1.0,423.0,1.0
0,344.3333333333333,3.0,3.0,2073.0,1.0
0,0.0,0.0,0.0,442.0,0.0
0,0.0,0.0,0.0,140.0,0.0
0,0.0,0.0,0.0,208.0,0.0
0,0.0,0.0,0.0,451.0,0.0
0,0.0,0.0,0.0,525.0,0.0
0,0.0,0.0,0.0,2132.0,0.0
0,0.0,0.0,0.0,292.0,0.0
0,2511.25,4.0,5.0,15946.0,1.0
0,0.0,0.0,0.0,8096.0,0.0
0,0.0,0.0,0.0,55.0,0.0
0,0.0,0.0,0.0,1652.0,0.0
0,0.0,0.0,0.0,1719.0,0.0
0,0.0,0.0,0.0,262.0,0.0
0,0.0,0.0,0.0,12574.0,0.0
0,0.0,0.0,0.0,377.0,0.0
0,0.0,0.0,0.0,182.0,0.0
0,0.0,0.0,1.0,153.0,0.0
0,0.0,0.0,1.0,153.0,0.0
0,115.0,1.0,0.0,284.0,1.0
0,131.0,1.0,3.0,1870.0,1.0
0,0.0,0.0,0.0,131.0,0.0
0,0.0,0.0,0.0,348.0,0.0
0,0.0,0.0,0.0,16683.0,0.0
0,0.0,0.0,0.0,46.0,0.0
0,0.0,0.0,2.0,266.0,0.0
0,0.0,0.0,0.0,125.0,0.0
0,5514.0,1.0,1.0,4370.0,1.0
0,0.0,0.0,0.0,2770.0,0.0
0,0.0,0.0,0.0,1777.0,0.0
0,0.0,0.0,0.0,5514.0,0.0
0,856.5,4.0,11.0,1850.0,1.0
0,0.0,0.0,0.0,1302.0,0.0
0,0.0,0.0,0.0,444.0,0.0
0,0.0,0.0,0.0,525.0,0.0
0,1582.0,4.0,22.0,2766.0,1.0
0,0.0,0.0,0.0,328.0,0.0
0,0.0,0.0,0.0,502.0,0.0
0,2775.6666666666665,3.0,5.0,621.0,1.0
0,0.0,0.0,0.0,5088.0,0.0
0,0.0,0.0,0.0,7819.0,0.0
0,0.0,0.0,2.0,3603.0,0.0
0,0.0,0.0,0.0,35.0,0.0
0,0.0,0.0,0.0,42.0,0.0
0,1755.6666666666667,3.0,2.0,825.0,1.0
0,0.0,0.0,0.0,118.0,0.0
0,448.5,2.0,1.0,404.0,1.0
0,0.0,0.0,0.0,591.0,0.0
0,1235.5,2.0,4.0,7097.0,1.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,2056.0,0.0
0,0.0,0.0,0.0,493.0,0.0
0,0.0,0.0,0.0,975.0,0.0
0,958.0,1.0,5.0,556.0,1.0
0,3018.0,1.0,5.0,546.0,1.0
0,0.0,0.0,0.0,958.0,0.0
0,3793.0,1.0,1.0,11112.0,1.0
0,0.0,0.0,1.0,3102.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,1046.5,2.0,4.0,3018.0,1.0
0,0.0,0.0,0.0,1273.0,0.0
0,0.0,0.0,0.0,1395.0,0.0
0,3559.5,2.0,2.0,9915.0,1.0
0,0.0,0.0,0.0,6369.0,0.0
0,0.0,0.0,0.0,304.0,0.0
0,0.0,0.0,1.0,688.0,0.0
0,0.0,0.0,0.0,750.0,0.0
0,0.0,0.0,0.0,1803.0,0.0
0,0.0,0.0,0.0,820.0,0.0
0,0.0,0.0,0.0,425.0,0.0
0,1731.8823529411766,17.0,11.0,118778.0,1.0
0,0.0,0.0,0.0,104.0,0.0
0,0.0,0.0,0.0,240.0,0.0
0,0.0,0.0,0.0,62.0,0.0
0,0.0,0.0,0.0,1273.0,0.0
0,0.0,0.0,0.0,964.0,0.0
0,0.0,0.0,0.0,100.0,0.0
0,0.0,0.0,0.0,306.0,0.0
0,0.0,0.0,0.0,17.0,0.0
0,0.0,0.0,0.0,387.0,0.0
0,0.0,0.0,0.0,129.0,0.0
0,0.0,0.0,0.0,1291.0,0.0
0,0.0,0.0,0.0,614.0,0.0
0,0.0,0.0,0.0,584.0,0.0
0,0.0,0.0,0.0,544.0,0.0
0,0.0,0.0,0.0,21231.0,0.0
0,0.0,0.0,4.0,1850.0,0.0
0,0.0,0.0,2.0,5601.0,0.0
0,0.0,0.0,0.0,613.0,0.0
0,0.0,0.0,0.0,295.0,0.0
0,0.0,0.0,0.0,49.0,0.0
0,2056.0,1.0,0.0,3018.0,1.0
0,0.0,0.0,0.0,2056.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,131.0,1.0,1.0,2056.0,1.0
0,1162.5,2.0,1.0,3018.0,1.0
0,0.0,0.0,0.0,2056.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,269.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,189.0,0.0
0,0.0,0.0,0.0,1274.0,0.0
0,0.0,0.0,0.0,1677.0,0.0
0,0.0,0.0,0.0,425.0,0.0
0,0.0,0.0,0.0,283.0,0.0
0,2056.0,1.0,1.0,3018.0,1.0
0,0.0,0.0,0.0,2056.0,0.0
0,0.0,0.0,0.0,679.0,0.0
0,0.0,0.0,1.0,3018.0,0.0
0,0.0,0.0,1.0,1841.0,0.0
0,0.0,0.0,0.0,449.0,0.0
0,0.0,0.0,0.0,1001.0,0.0
0,0.0,0.0,1.0,3018.0,0.0
0,289.8333333333333,6.0,10.0,1993.0,1.0
0,0.0,0.0,0.0,48.0,0.0
0,0.0,0.0,0.0,60.0,0.0
0,0.0,0.0,0.0,410.0,0.0
0,0.0,0.0,0.0,172.0,0.0
0,0.0,0.0,0.0,516.0,0.0
0,0.0,0.0,0.0,3243.0,0.0
0,3536.0,1.0,2.0,643.0,1.0
0,0.0,0.0,0.0,475.0,0.0
0,0.0,0.0,0.0,3536.0,0.0
0,0.0,0.0,1.0,6282.0,0.0
0,630.0,1.0,10.0,28817.0,1.0
0,0.0,0.0,0.0,630.0,0.0
0,0.0,0.0,1.0,229.0,0.0
0,3838.0,2.0,6.0,3843.0,1.0
0,0.0,0.0,0.0,1031.0,0.0
0,2622.0,1.0,0.0,1031.0,1.0
0,0.0,0.0,1.0,74.0,0.0
0,0.0,0.0,0.0,528.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,1.0,382.0,0.0
0,0.0,0.0,0.0,67.0,0.0
0,0.0,0.0,0.0,525.0,0.0
0,0.0,0.0,0.0,525.0,0.0
0,0.0,0.0,0.0,968.0,0.0
0,8635.0,1.0,0.0,797.0,1.0
0,0.0,0.0,0.0,8635.0,0.0
0,0.0,0.0,1.0,318.0,0.0
0,0.0,0.0,0.0,11831.0,0.0
0,0.0,0.0,0.0,11831.0,0.0
0,3077.5,2.0,5.0,1391.0,1.0
0,0.0,0.0,0.0,56.0,0.0
0,0.0,0.0,0.0,350.0,0.0
0,3765.5,4.0,4.0,25830.0,1.0
0,0.0,0.0,0.0,5898.0,0.0
0,0.0,0.0,0.0,2854.0,0.0
0,0.0,0.0,1.0,122.0,0.0
0,0.0,0.0,0.0,641.0,0.0
0,0.0,0.0,0.0,3364.0,0.0
0,0.0,0.0,0.0,5859.0,0.0
0,0.0,0.0,0.0,390.0,0.0
0,0.0,0.0,0.0,1817.0,0.0
0,0.0,0.0,0.0,131.0,0.0
0,0.0,0.0,0.0,28.0,0.0
0,0.0,0.0,1.0,784.0,0.0
0,0.0,0.0,0.0,509.0,0.0
0,0.0,0.0,1.0,81.0,0.0
0,7.0,1.0,1.0,74.0,1.0
0,0.0,0.0,1.0,356.0,0.0
0,0.0,0.0,1.0,81.0,0.0
0,0.0,0.0,0.0,433.0,0.0
0,0.0,0.0,0.0,723.0,0.0
0,0.0,0.0,0.0,100.0,0.0
0,0.0,0.0,0.0,1168.0,0.0
0,0.0,0.0,0.0,6739.0,0.0
0,0.0,0.0,0.0,1300.0,0.0
0,0.0,0.0,1.0,3385.0,0.0
0,0.0,0.0,0.0,813.0,0.0
0,0.0,0.0,1.0,259.0,0.0
0,3000.5,4.0,0.0,10938.0,1.0
0,0.0,0.0,0.0,4248.0,0.0
0,0.0,0.0,0.0,390.0,0.0
0,0.0,0.0,0.0,5589.0,0.0
0,0.0,0.0,0.0,1011.0,0.0
0,0.0,0.0,0.0,809.0,0.0
0,0.0,0.0,1.0,571.0,0.0
0,0.0,0.0,0.0,131.0,0.0
0,0.0,0.0,0.0,2505.0,0.0
0,0.0,0.0,0.0,2745.0,0.0
0,0.0,0.0,0.0,268.0,0.0
0,0.0,0.0,0.0,413.0,0.0
0,0.0,0.0,0.0,7248.0,0.0
0,0.0,0.0,0.0,126.0,0.0
0,0.0,0.0,0.0,709.0,0.0
0,0.0,0.0,0.0,2235.0,0.0
0,0.0,0.0,0.0,239.0,0.0
0,0.0,0.0,1.0,6135.0,0.0
0,0.0,0.0,0.0,533.0,0.0
0,0.0,0.0,0.0,1254.0,0.0
0,0.0,0.0,0.0,1111.0,0.0
0,14394.0,1.0,0.0,2745.0,1.0
0,0.0,0.0,0.0,14394.0,0.0
0,0.0,0.0,0.0,1015.0,0.0
0,0.0,0.0,1.0,854.0,0.0
0,0.0,0.0,0.0,1529.0,0.0
0,0.0,0.0,0.0,1980.0,0.0
0,0.0,0.0,1.0,722.0,0.0
0,19611.0,1.0,1.0,350.0,1.0
0,1503.0,1.0,1.0,1630.0,1.0
0,10323.6,5.0,5.0,721.0,1.0
0,0.0,0.0,0.0,40184.0,0.0
0,0.0,0.0,0.0,351.0,0.0
0,5708.333333333333,3.0,3.0,14583.0,1.0
0,0.0,0.0,0.0,9970.0,0.0
0,0.0,0.0,0.0,1997.0,0.0
0,0.0,0.0,0.0,19611.0,0.0
0,2120.0,1.0,1.0,1704.0,1.0
0,0.0,0.0,0.0,1503.0,0.0
0,0.0,0.0,0.0,6712.0,0.0
0,0.0,0.0,0.0,3234.0,0.0
0,0.0,0.0,0.0,1997.0,0.0
0,53588.0,1.0,1.0,4917.0,1.0
0,0.0,0.0,0.0,53588.0,0.0
0,19025.5,2.0,1.0,53588.0,1.0
0,0.0,0.0,0.0,4917.0,0.0
0,0.0,0.0,0.0,144.0,0.0
0,0.0,0.0,6.0,24909.0,0.0
0,0.0,0.0,0.0,3217.0,0.0
0,4299.2,20.0,30.0,3823.0,1.0
0,0.0,0.0,0.0,2894.0,0.0
0,0.0,0.0,0.0,3261.0,0.0
0,0.0,0.0,0.0,3629.0,0.0
0,253.0,1.0,2.0,2113.0,1.0
0,0.0,0.0,0.0,9373.0,0.0
0,0.0,0.0,0.0,3938.0,0.0
0,0.0,0.0,1.0,3585.0,0.0
0,0.0,0.0,0.0,1482.0,0.0
0,11119.0,1.0,0.0,3585.0,1.0
0,3979.0,1.0,2.0,785.0,1.0
0,0.0,0.0,0.0,3979.0,0.0
0,5030.5,4.0,9.0,4424.0,1.0
0,0.0,0.0,0.0,228.0,0.0
0,0.0,0.0,3.0,38.0,0.0
0,0.0,0.0,0.0,642.0,0.0
0,0.0,0.0,0.0,18712.0,0.0
0,529.25,4.0,5.0,2336.0,1.0
0,0.0,0.0,0.0,185.0,0.0
0,0.0,0.0,1.0,393.0,0.0
0,0.0,0.0,0.0,393.0,0.0
0,0.0,0.0,0.0,18.0,0.0
0,0.0,0.0,1.0,56.0,0.0
0,0.0,0.0,0.0,346.0,0.0
0,6531.5,4.0,2.0,220154.0,1.0
0,0.0,0.0,0.0,11119.0,0.0
0,0.0,0.0,0.0,4171.0,0.0
0,0.0,0.0,0.0,4171.0,0.0
0,0.0,0.0,0.0,4171.0,0.0
0,0.0,0.0,0.0,4171.0,0.0
0,0.0,0.0,0.0,884.0,0.0
0,0.0,0.0,0.0,45.0,0.0
0,0.0,0.0,1.0,736.0,0.0
0,0.0,0.0,0.0,501.0,0.0
0,0.0,0.0,14.0,57266.0,0.0
0,0.0,0.0,0.0,6369.0,0.0
0,0.0,0.0,0.0,678.0,0.0
0,0.0,0.0,0.0,33134.0,0.0
0,1106.3636363636363,11.0,17.0,118775.0,1.0
0,0.0,0.0,0.0,891.0,0.0
0,0.0,0.0,0.0,2036.0,0.0
0,0.0,0.0,0.0,842.0,0.0
0,0.0,0.0,0.0,94.0,0.0
0,0.0,0.0,0.0,1664.0,0.0
0,0.0,0.0,0.0,387.0,0.0
0,703.3333333333334,6.0,7.0,994.0,1.0
0,0.0,0.0,1.0,1156.0,0.0
0,0.0,0.0,0.0,2543.0,0.0
0,0.0,0.0,0.0,104.0,0.0
0,0.0,0.0,0.0,516.0,0.0
0,0.0,0.0,0.0,1275.0,0.0
0,0.0,0.0,0.0,456.0,0.0
0,0.0,0.0,0.0,36.0,0.0
0,3309.0,1.0,6.0,980.0,1.0
0,0.0,0.0,0.0,1473.0,0.0
0,0.0,0.0,1.0,3277.0,0.0
0,0.0,0.0,0.0,1273.0,0.0
0,0.0,0.0,0.0,456.0,0.0
0,0.0,0.0,0.0,2975.0,0.0
0,0.0,0.0,0.0,669.0,0.0
0,0.0,0.0,0.0,2189.0,0.0
0,0.0,0.0,0.0,6438.0,0.0
0,0.0,0.0,0.0,1144.0,0.0
0,0.0,0.0,0.0,672.0,0.0
0,2578.0,1.0,1.0,4518.0,1.0
0,0.0,0.0,0.0,578.0,0.0
0,0.0,0.0,0.0,1913.0,0.0
0,0.0,0.0,0.0,281.0,0.0
0,0.0,0.0,0.0,83.0,0.0
0,0.0,0.0,0.0,183.0,0.0
0,0.0,0.0,2.0,1075.0,0.0
0,0.0,0.0,0.0,3150.0,0.0
0,0.0,0.0,0.0,765.0,0.0
0,2689.0,1.0,1.0,3407.0,1.0
0,0.0,0.0,0.0,2689.0,0.0
0,0.0,0.0,0.0,2578.0,0.0
0,0.0,0.0,0.0,655.0,0.0
0,0.0,0.0,2.0,105.0,0.0
0,0.0,0.0,0.0,1385.0,0.0
0,0.0,0.0,0.0,902.0,0.0
0,764.5,2.0,5.0,380.0,1.0
0,0.0,0.0,0.0,3510.0,0.0
0,0.0,0.0,0.0,436.0,0.0
0,0.0,0.0,0.0,589.0,0.0
0,0.0,0.0,0.0,195.0,0.0
0,,1.0,2.0,1198.0,1.0
0,0.0,0.0,0.0,639.0,0.0
0,0.0,0.0,0.0,1635.0,0.0
0,1421.0,2.0,2.0,3409.0,1.0
0,0.0,0.0,1.0,547.0,0.0
0,0.0,0.0,0.0,1086.0,0.0
0,0.0,0.0,0.0,1756.0,0.0
0,0.0,0.0,0.0,1616.0,0.0
0,0.0,0.0,0.0,3309.0,0.0
0,0.0,0.0,0.0,685.0,0.0
0,0.0,0.0,0.0,2474.0,0.0
0,0.0,0.0,0.0,940.0,0.0
0,0.0,0.0,0.0,23.0,0.0
0,0.0,0.0,0.0,73.0,0.0
0,0.0,0.0,0.0,2474.0,0.0
0,0.0,0.0,0.0,426.0,0.0
0,0.0,0.0,0.0,426.0,0.0
0,9.0,1.0,0.0,426.0,1.0
0,0.0,0.0,0.0,77.0,0.0
0,1297.7272727272727,11.0,8.0,118759.0,1.0
0,0.0,0.0,0.0,722.0,0.0
0,0.0,0.0,0.0,472.0,0.0
0,0.0,0.0,0.0,2158.0,0.0
0,0.0,0.0,0.0,1272.0,0.0
0,0.0,0.0,0.0,870.0,0.0
0,0.0,0.0,0.0,350.0,0.0
0,0.0,0.0,0.0,604.0,0.0
0,0.0,0.0,0.0,743.0,0.0
0,0.0,0.0,0.0,5462.0,0.0
0,0.0,0.0,0.0,426.0,0.0
0,0.0,0.0,0.0,1360.0,0.0
0,0.0,0.0,1.0,53.0,0.0
0,0.0,0.0,0.0,9.0,0.0
0,0.0,0.0,0.0,306.0,0.0
0,0.0,0.0,0.0,262.0,0.0
0,2255.0,1.0,0.0,2355.0,1.0
0,0.0,0.0,0.0,2255.0,0.0
0,0.0,0.0,0.0,1707.0,0.0
0,0.0,0.0,0.0,262.0,0.0
0,0.0,0.0,0.0,1023.0,0.0
0,0.0,0.0,0.0,4712.0,0.0
0,0.0,0.0,1.0,500.0,0.0
0,0.0,0.0,0.0,46023.0,0.0
0,0.0,0.0,0.0,225.0,0.0
0,1005.0,1.0,1.0,2298.0,1.0
0,0.0,0.0,0.0,1005.0,0.0
0,0.0,0.0,0.0,3136.0,0.0
0,1005.0,1.0,1.0,2298.0,1.0
0,0.0,0.0,0.0,1005.0,0.0
0,0.0,0.0,0.0,2298.0,0.0
0,0.0,0.0,0.0,2298.0,0.0
0,9345.3125,16.0,114.0,50878.0,1.0
0,0.0,0.0,1.0,820.0,0.0
0,0.0,0.0,0.0,10346.0,0.0
0,0.0,0.0,0.0,6086.0,0.0
0,0.0,0.0,0.0,1016.0,0.0
0,0.0,0.0,0.0,722.0,0.0
0,1115.4444444444443,18.0,52.0,9565.0,1.0
0,0.0,0.0,1.0,2904.0,0.0
0,1591.6666666666667,3.0,0.0,466.0,1.0
0,862.0,17.0,26.0,9630.0,1.0
0,0.0,0.0,0.0,1662.0,0.0
0,0.0,0.0,0.0,1973.0,0.0
0,0.0,0.0,0.0,3129.0,0.0
0,0.0,0.0,0.0,2550.0,0.0
0,0.0,0.0,0.0,55.0,0.0
0,0.0,0.0,0.0,4177.0,0.0
0,0.0,0.0,0.0,1059.0,0.0
0,0.0,0.0,0.0,1224.0,0.0
0,0.0,0.0,0.0,118.0,0.0
0,0.0,0.0,0.0,808.0,0.0
0,0.0,0.0,0.0,82.0,0.0
0,0.0,0.0,0.0,268.0,0.0
0,0.0,0.0,0.0,305.0,0.0
0,0.0,0.0,0.0,16.0,0.0
0,0.0,0.0,0.0,4898.0,0.0
0,0.0,0.0,0.0,1569.0,0.0
0,0.0,0.0,0.0,1030.0,0.0
0,0.0,0.0,0.0,47.0,0.0
0,0.0,0.0,0.0,95.0,0.0
0,0.0,0.0,0.0,4355.0,0.0
0,0.0,0.0,0.0,1060.0,0.0
0,0.0,0.0,0.0,1172.0,0.0
0,0.0,0.0,0.0,208.0,0.0
0,0.0,0.0,0.0,1677.0,0.0
0,0.0,0.0,0.0,2054.0,0.0
0,0.0,0.0,0.0,3217.0,0.0
0,0.0,0.0,0.0,201.0,0.0
0,0.0,0.0,0.0,242.0,0.0
0,0.0,0.0,1.0,217.0,0.0
0,0.0,0.0,0.0,222.0,0.0
0,513.0,2.0,4.0,1226.0,1.0
0,0.0,0.0,0.0,1017.0,0.0
0,0.0,0.0,0.0,26066.0,0.0
0,0.0,0.0,0.0,393.0,0.0
0,949.0,1.0,2.0,154.0,1.0
0,0.0,0.0,0.0,949.0,0.0
0,0.0,0.0,0.0,6580.0,0.0
0,0.0,0.0,0.0,358.0,0.0
0,0.0,0.0,0.0,7287.0,0.0
0,0.0,0.0,0.0,193.0,0.0
0,0.0,0.0,0.0,815.0,0.0
0,0.0,0.0,2.0,132.0,0.0
0,0.0,0.0,0.0,198.0,0.0
0,0.0,0.0,0.0,2492.0,0.0
0,0.0,0.0,0.0,585.0,0.0
0,0.0,0.0,0.0,132.0,0.0
0,0.0,0.0,0.0,153951.0,0.0
0,550.0,1.0,0.0,2492.0,1.0
0,0.0,0.0,3.0,190.0,0.0
0,0.0,0.0,0.0,389.0,0.0
0,0.0,0.0,0.0,550.0,0.0
0,0.0,0.0,0.0,1410.0,0.0
0,0.0,0.0,0.0,2727.0,0.0
0,0.0,0.0,0.0,1780.0,0.0
0,0.0,0.0,0.0,1174.0,0.0
0,0.0,0.0,0.0,187.0,0.0
0,0.0,0.0,0.0,295.0,0.0
0,0.0,0.0,0.0,382.0,0.0
0,0.0,0.0,1.0,6568.0,0.0
0,0.0,0.0,0.0,3679.0,0.0
0,0.0,0.0,0.0,1940.0,0.0
0,0.0,0.0,0.0,67.0,0.0
0,9.0,1.0,0.0,426.0,1.0
0,0.0,0.0,0.0,1154.0,0.0
0,0.0,0.0,0.0,1155.0,0.0
0,755.8,10.0,9.0,201955.0,1.0
0,0.0,0.0,0.0,389.0,0.0
0,0.0,0.0,0.0,64.0,0.0
0,0.0,0.0,0.0,448.0,0.0
0,0.0,0.0,0.0,995.0,0.0
0,0.0,0.0,0.0,818.0,0.0
0,0.0,0.0,0.0,9.0,0.0
0,0.0,0.0,0.0,2608.0,0.0
0,0.0,0.0,0.0,3000.0,0.0
0,0.0,0.0,0.0,27.0,0.0
0,0.0,0.0,0.0,41.0,0.0
0,0.0,0.0,0.0,1209.0,0.0
0,0.0,0.0,0.0,177.0,0.0
0,396.0,1.0,0.0,426.0,1.0
0,0.0,0.0,0.0,2277.0,0.0
0,0.0,0.0,0.0,690.0,0.0
0,0.0,0.0,1.0,15062.0,0.0
0,0.0,0.0,0.0,1388.0,0.0
0,0.0,0.0,0.0,1356.0,0.0
0,0.0,0.0,0.0,94.0,0.0
0,100.0,1.0,0.0,1.0,1.0
0,0.0,0.0,0.0,626.0,0.0
0,0.0,0.0,0.0,160.0,0.0
0,0.0,0.0,1.0,4.0,0.0
0,0.0,0.0,0.0,308.0,0.0
0,0.0,0.0,0.0,1179.0,0.0
0,80.0,1.0,3.0,2073.0,1.0
0,0.0,0.0,0.0,125.0,0.0
0,0.0,0.0,0.0,1721.0,0.0
0,0.0,0.0,0.0,80.0,0.0
0,0.0,0.0,0.0,493.0,0.0
0,14110.5,2.0,2.0,2965.0,1.0
0,0.0,0.0,0.0,24991.0,0.0
0,0.0,0.0,0.0,2214.0,0.0
0,0.0,0.0,1.0,428.0,0.0
0,0.0,0.0,0.0,3230.0,0.0
0,0.0,0.0,0.0,820.0,0.0
0,0.0,0.0,0.0,160.0,0.0
0,8634.0,1.0,0.0,797.0,1.0
0,0.0,0.0,0.0,8634.0,0.0
0,0.0,0.0,0.0,448.0,0.0
0,0.0,0.0,0.0,295.0,0.0
0,5970.666666666667,3.0,4.0,16922.0,1.0
0,0.0,0.0,0.0,6453.0,0.0
0,0.0,0.0,0.0,9250.0,0.0
0,0.0,0.0,0.0,3881.0,0.0
0,0.0,0.0,0.0,2971.0,0.0
0,0.0,0.0,0.0,4781.0,0.0
0,0.0,0.0,0.0,100.0,0.0
0,8535.5,4.0,3.0,32984.0,1.0
0,0.0,0.0,0.0,347.0,0.0
0,0.0,0.0,0.0,347.0,0.0
0,0.0,0.0,0.0,4738.0,0.0
0,2085.0,2.0,3.0,4711.0,1.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,3018.0,0.0
0,0.0,0.0,0.0,419.0,0.0
0,0.0,0.0,0.0,236.0,0.0
0,0.0,0.0,0.0,1186.0,0.0
0,0.0,0.0,0.0,295.0,0.0
0,0.0,0.0,0.0,458.0,0.0
0,0.0,0.0,0.0,13204.0,0.0
0,0.0,0.0,0.0,127.0,0.0
0,7045.0,1.0,0.0,4203.0,1.0
0,0.0,0.0,0.0,266.0,0.0
